Country,X1 (Seafood),X2 (Meat),X3 (Offals),X4 (Spices),X5 (Vegetables),X6 (Obesity),Y (Percentage of confirmed case)
Kenya,0.2773,6.5654,0.1885,0.0555,0.2107,6,0.077615454
"Korea, South",1.9147,11.186,0.1534,0.0372,0.6924,4.9,0.047706688
Kuwait,0.3732,9.5706,0.189,0.5385,0.5055,37,2.368706033
Kyrgyzstan,0.0895,10.1776,0.3358,0.097,0.7163,15.4,0.746587807
Lao People's Democratic Republic,1.6871,15.0283,0.2243,1.0435,1.1118,4.5,0.000317592
Latvia,0.8819,9.7976,0.1122,0.0321,0.2606,25.7,0.140378549
Lebanon,0.3681,5.1361,0.0502,0.0836,0.3736,31.3,0.784879121
Lesotho,0.253,9.1881,0.345,0.391,0.1725,13.5,0.08426704
Liberia,0.3702,6.0051,0.1355,0,0.1896,8.6,0.02694741
Lithuania,1.238,14.2134,0.1125,0.197,0.2579,28.4,0.219112384
Luxembourg,0.6987,16.3118,0.0658,0.1646,0.2634,24.2,1.442879747
Madagascar,0.745,11.5581,0.298,0.2554,0.1916,4.5,0.060373407
Malawi,0.6672,14.6458,0.2542,0.0529,0.2224,4.7,0.030428646
Malaysia,1.8599,9.8041,0.0329,0.6584,0.2359,15.3,0.047762423
Maldives,8.4068,5.836,0,1.1713,0.5183,7.9,2.013678373
Mali,0.4065,5.6745,0.3152,0.1244,0.3816,7.1,0.016226359
Malta,1.3074,10.6541,0.0508,0.0804,0.5162,31,0.723371648
Mauritania,0.5369,5.7479,0.2822,0,0.1514,11.3,0.162365591
Mauritius,1.0457,6.7594,0.055,0.3452,0.1751,11.5,0.031225296
Mexico,0.4661,13.2133,0.2182,0.2529,0.2429,28.4,0.639713754
Mongolia,0.0315,21.0223,0.6717,0.0052,0.1417,19.6,0.00946147
Montenegro,0.3473,14.7778,0.0752,0.043,0.2578,24.9,2.229742765
Morocco,1.2329,6.9989,0.2289,0.3987,0.2953,25.6,0.423909657
Mozambique,0.849,6.8783,0.1107,0.0246,0.16,6,0.032089456
Namibia,0.6075,7.7772,0.2078,0.4236,0.1359,15,0.469736324
Nepal,0.1563,2.7069,0.1563,1.1437,0.6006,3.8,0.359231231
Netherlands,0.7451,10.8567,0.027,0.1235,0.2355,23.1,1.032163508
New Zealand,0.6485,13.9409,0.0601,0.0859,0.2835,32,0.037517546
Nicaragua,0.4174,7.6069,0.1102,0.0079,0.1811,21.8,0.079805943
Niger,0.1353,3.6332,0.1836,0.3479,0.4445,4.7,0.004965067
Nigeria,0.5957,2.4838,0.0909,0.4746,0.5452,7.8,0.029235471
North Macedonia,0.2371,6.5409,0.15,0.4886,0.745,23.9,1.006586538
Norway,1.5545,10.6992,0.0541,0.0473,0.1656,25,0.288175237
Oman,0.929,9.0171,0.2144,0.7276,0.5782,22.9,2.246764269
Pakistan,0.0818,3.4967,0.1431,0.2249,0.075,7.8,0.144526568
Panama,0.8614,9.1046,0.1823,0.0377,0.1258,22.5,2.809082419
Paraguay,0.1742,10.2335,0.2558,0.0218,0.1198,19,0.684700207
Peru,1.9497,6.8241,0.4322,0.0704,0.4523,19.1,2.587652328
Philippines,1.6045,18.887,0.2751,0.0642,0.3576,6,0.309671385
Poland,0.4851,13.3072,0.0078,0.0427,0.2639,25.6,0.327919099
Portugal,1.0267,10.3459,0.1378,0.0413,0.2825,23.2,0.8450902
Republic of Moldova,0.6921,9.7764,0.1238,0.0146,0.357,20.1,1.758161245
Romania,0.1994,7.9894,0.1221,0.4965,0.4477,24.5,0.807042254
Russian Federation,0.9415,10.8433,0.1455,0.0273,0.2638,25.7,0.880297547
Rwanda,0.6364,5.2182,0.2364,0.0545,0.2545,4.8,0.037801112
Saint Kitts and Nevis,0.7296,14.3547,0.1233,0.2055,0.1233,23.1,0.035185185
Saint Lucia,1.5867,22.8778,0.2353,0.4163,0.1508,19.8,0.015934066
Saint Vincent and the Grenadines,0.715,17.529,0.1254,1.2919,0.2509,23.8,0.057657658
Sao Tome and Principe,1.4361,4.1809,0.0134,0.0336,0.0738,10.6,0.442380952
Saudi Arabia,0.4122,6.9243,0.097,0.48,0.1891,35,0.968200108
Senegal,0.7129,3.2319,0.1222,0.1697,0.1901,7.4,0.091184902
Serbia,0.3396,18.1385,0.2145,0.0834,0.3635,23.5,0.500028748
Sierra Leone,1.2117,2.0412,0.0746,0.2889,0.2703,7.5,0.028908111
Slovakia,0.2331,5.8496,0.0851,0.0599,0.1292,22.4,0.363438301
Slovenia,0.3693,8.5899,0.112,0.1784,0.2697,22.5,0.41193533
South Africa,0.2379,14.1489,0.3295,0.1037,0.1647,27,1.161318508
Spain,1.0814,9.2772,0.0937,0.0134,0.2611,27.1,1.807729611
Sri Lanka,2.2766,2.027,0.0999,1.4279,0.2396,5.4,0.021662032
Sudan,0.0587,7.0789,0.2641,0.1174,0.3521,7.4,0.031182011
Suriname,0.772,10.639,0.0324,0.0584,0.2789,26.5,0.834876033
Sweden,0.8778,8.8481,0.0074,0.1111,0.2296,22.1,0.948742411
Switzerland,0.4048,12.0906,0.0703,0.0836,0.2141,21.2,0.699189252
Tajikistan,0.0174,7.159,0.2175,0.0174,0.9395,12.6,0.108410224
Thailand,1.7984,11.6621,0.0934,1.7594,0.2102,10.8,0.00547239
Timor-Leste,0.7893,14.5525,0.0889,0.1445,0.1668,2.9,0.002124431
Togo,0.5708,3.3889,0.0713,0.223,0.1516,7.1,0.023432782
Trinidad and Tobago,0.7816,11.386,0.0843,0.4386,0.1799,19.7,0.368371074
Tunisia,0.5085,4.0323,0.0915,0.3407,0.7627,27.3,0.273671822
Turkey,0.1428,3.8475,0.0674,0.3729,0.6703,32.2,0.400698616
Uganda,0.862,6.101,0.1343,0.0336,0.1567,4.1,0.021427166
Ukraine,0.516,9.635,0.1196,0.0378,0.5223,26.1,0.641641534
United Arab Emirates,0.8108,9.461,0.1677,1.1295,0.4306,29.9,1.086408263
